name,is_baby,is_legendary,is_mythical,is_pokemon
treecko,False,False,False,True
grovyle,False,False,False,True
sceptile,False,False,False,True
torchic,False,False,False,True
combusken,False,False,False,True
blaziken,False,False,False,True
mudkip,False,False,False,True
marshtomp,False,False,False,True
swampert,False,False,False,True
poochyena,False,False,False,True
mightyena,False,False,False,True
zigzagoon,False,False,False,True
linoone,False,False,False,True
wurmple,False,False,False,True
silcoon,False,False,False,True
beautifly,False,False,False,True
cascoon,False,False,False,True
dustox,False,False,False,True
lotad,False,False,False,True
lombre,False,False,False,True
ludicolo,False,False,False,True
seedot,False,False,False,True
nuzleaf,False,False,False,True
shiftry,False,False,False,True
taillow,False,False,False,True
swellow,False,False,False,True
wingull,False,False,False,True
pelipper,False,False,False,True
ralts,False,False,False,True
kirlia,False,False,False,True
gardevoir,False,False,False,True
surskit,False,False,False,True
masquerain,False,False,False,True
shroomish,False,False,False,True
breloom,False,False,False,True
slakoth,False,False,False,True
vigoroth,False,False,False,True
slaking,False,False,False,True
abra,False,False,False,True
kadabra,False,False,False,True
alakazam,False,False,False,True
nincada,False,False,False,True
ninjask,False,False,False,True
shedinja,False,False,False,True
whismur,False,False,False,True
loudred,False,False,False,True
exploud,False,False,False,True
makuhita,False,False,False,True
hariyama,False,False,False,True
goldeen,False,False,False,True
seaking,False,False,False,True
magikarp,False,False,False,True
gyarados,False,False,False,True
azurill,True,False,False,True
marill,False,False,False,True
azumarill,False,False,False,True
geodude,False,False,False,True
graveler,False,False,False,True
golem,False,False,False,True
nosepass,False,False,False,True
skitty,False,False,False,True
delcatty,False,False,False,True
zubat,False,False,False,True
golbat,False,False,False,True
crobat,False,False,False,True
tentacool,False,False,False,True
tentacruel,False,False,False,True
sableye,False,False,False,True
mawile,False,False,False,True
aron,False,False,False,True
lairon,False,False,False,True
aggron,False,False,False,True
machop,False,False,False,True
machoke,False,False,False,True
machamp,False,False,False,True
meditite,False,False,False,True
medicham,False,False,False,True
electrike,False,False,False,True
manectric,False,False,False,True
plusle,False,False,False,True
minun,False,False,False,True
magnemite,False,False,False,True
magneton,False,False,False,True
voltorb,False,False,False,True
electrode,False,False,False,True
volbeat,False,False,False,True
illumise,False,False,False,True
oddish,False,False,False,True
gloom,False,False,False,True
vileplume,False,False,False,True
bellossom,False,False,False,True
doduo,False,False,False,True
dodrio,False,False,False,True
roselia,False,False,False,True
gulpin,False,False,False,True
swalot,False,False,False,True
carvanha,False,False,False,True
sharpedo,False,False,False,True
wailmer,False,False,False,True
wailord,False,False,False,True
numel,False,False,False,True
camerupt,False,False,False,True
slugma,False,False,False,True
magcargo,False,False,False,True
torkoal,False,False,False,True
grimer,False,False,False,True
muk,False,False,False,True
koffing,False,False,False,True
weezing,False,False,False,True
spoink,False,False,False,True
grumpig,False,False,False,True
sandshrew,False,False,False,True
sandslash,False,False,False,True
spinda,False,False,False,True
skarmory,False,False,False,True
trapinch,False,False,False,True
vibrava,False,False,False,True
flygon,False,False,False,True
cacnea,False,False,False,True
cacturne,False,False,False,True
swablu,False,False,False,True
altaria,False,False,False,True
zangoose,False,False,False,True
seviper,False,False,False,True
lunatone,False,False,False,True
solrock,False,False,False,True
barboach,False,False,False,True
whiscash,False,False,False,True
corphish,False,False,False,True
crawdaunt,False,False,False,True
baltoy,False,False,False,True
claydol,False,False,False,True
lileep,False,False,False,True
cradily,False,False,False,True
anorith,False,False,False,True
armaldo,False,False,False,True
igglybuff,True,False,False,True
jigglypuff,False,False,False,True
wigglytuff,False,False,False,True
feebas,False,False,False,True
milotic,False,False,False,True
castform,False,False,False,True
staryu,False,False,False,True
starmie,False,False,False,True
kecleon,False,False,False,True
shuppet,False,False,False,True
banette,False,False,False,True
duskull,False,False,False,True
dusclops,False,False,False,True
tropius,False,False,False,True
chimecho,False,False,False,True
absol,False,False,False,True
vulpix,False,False,False,True
ninetales,False,False,False,True
pichu,True,False,False,True
pikachu,False,False,False,True
raichu,False,False,False,True
psyduck,False,False,False,True
golduck,False,False,False,True
wynaut,True,False,False,True
wobbuffet,False,False,False,True
natu,False,False,False,True
xatu,False,False,False,True
girafarig,False,False,False,True
phanpy,False,False,False,True
donphan,False,False,False,True
pinsir,False,False,False,True
heracross,False,False,False,True
rhyhorn,False,False,False,True
rhydon,False,False,False,True
snorunt,False,False,False,True
glalie,False,False,False,True
spheal,False,False,False,True
sealeo,False,False,False,True
walrein,False,False,False,True
clamperl,False,False,False,True
huntail,False,False,False,True
gorebyss,False,False,False,True
relicanth,False,False,False,True
corsola,False,False,False,True
chinchou,False,False,False,True
lanturn,False,False,False,True
luvdisc,False,False,False,True
horsea,False,False,False,True
seadra,False,False,False,True
kingdra,False,False,False,True
bagon,False,False,False,True
shelgon,False,False,False,True
salamence,False,False,False,True
beldum,False,False,False,True
metang,False,False,False,True
metagross,False,False,False,True
regirock,False,True,False,True
regice,False,True,False,True
registeel,False,True,False,True
latias,False,True,False,True
latios,False,True,False,True
kyogre,False,True,False,True
groudon,False,True,False,True
rayquaza,False,True,False,True
jirachi,False,False,True,True
deoxys,False,False,True,True
