name,is_baby,is_legendary,is_mythical,is_pokemon
bulbasaur,False,False,False,True
ivysaur,False,False,False,True
venusaur,False,False,False,True
charmander,False,False,False,True
charmeleon,False,False,False,True
charizard,False,False,False,True
squirtle,False,False,False,True
wartortle,False,False,False,True
blastoise,False,False,False,True
caterpie,False,False,False,True
metapod,False,False,False,True
butterfree,False,False,False,True
weedle,False,False,False,True
kakuna,False,False,False,True
beedrill,False,False,False,True
pidgey,False,False,False,True
pidgeotto,False,False,False,True
pidgeot,False,False,False,True
rattata,False,False,False,True
raticate,False,False,False,True
spearow,False,False,False,True
fearow,False,False,False,True
ekans,False,False,False,True
arbok,False,False,False,True
pikachu,False,False,False,True
raichu,False,False,False,True
sandshrew,False,False,False,True
sandslash,False,False,False,True
nidoran-f,False,False,False,True
nidorina,False,False,False,True
nidoqueen,False,False,False,True
nidoran-m,False,False,False,True
nidorino,False,False,False,True
nidoking,False,False,False,True
clefairy,False,False,False,True
clefable,False,False,False,True
vulpix,False,False,False,True
ninetales,False,False,False,True
jigglypuff,False,False,False,True
wigglytuff,False,False,False,True
zubat,False,False,False,True
golbat,False,False,False,True
oddish,False,False,False,True
gloom,False,False,False,True
vileplume,False,False,False,True
paras,False,False,False,True
parasect,False,False,False,True
venonat,False,False,False,True
venomoth,False,False,False,True
diglett,False,False,False,True
dugtrio,False,False,False,True
meowth,False,False,False,True
persian,False,False,False,True
psyduck,False,False,False,True
golduck,False,False,False,True
mankey,False,False,False,True
primeape,False,False,False,True
growlithe,False,False,False,True
arcanine,False,False,False,True
poliwag,False,False,False,True
poliwhirl,False,False,False,True
poliwrath,False,False,False,True
abra,False,False,False,True
kadabra,False,False,False,True
alakazam,False,False,False,True
machop,False,False,False,True
machoke,False,False,False,True
machamp,False,False,False,True
bellsprout,False,False,False,True
weepinbell,False,False,False,True
victreebel,False,False,False,True
tentacool,False,False,False,True
tentacruel,False,False,False,True
geodude,False,False,False,True
graveler,False,False,False,True
golem,False,False,False,True
ponyta,False,False,False,True
rapidash,False,False,False,True
slowpoke,False,False,False,True
slowbro,False,False,False,True
magnemite,False,False,False,True
magneton,False,False,False,True
farfetchd,False,False,False,True
doduo,False,False,False,True
dodrio,False,False,False,True
seel,False,False,False,True
dewgong,False,False,False,True
grimer,False,False,False,True
muk,False,False,False,True
shellder,False,False,False,True
cloyster,False,False,False,True
gastly,False,False,False,True
haunter,False,False,False,True
gengar,False,False,False,True
onix,False,False,False,True
drowzee,False,False,False,True
hypno,False,False,False,True
krabby,False,False,False,True
kingler,False,False,False,True
voltorb,False,False,False,True
electrode,False,False,False,True
exeggcute,False,False,False,True
exeggutor,False,False,False,True
cubone,False,False,False,True
marowak,False,False,False,True
hitmonlee,False,False,False,True
hitmonchan,False,False,False,True
lickitung,False,False,False,True
koffing,False,False,False,True
weezing,False,False,False,True
rhyhorn,False,False,False,True
rhydon,False,False,False,True
chansey,False,False,False,True
tangela,False,False,False,True
kangaskhan,False,False,False,True
horsea,False,False,False,True
seadra,False,False,False,True
goldeen,False,False,False,True
seaking,False,False,False,True
staryu,False,False,False,True
starmie,False,False,False,True
mr-mime,False,False,False,True
scyther,False,False,False,True
jynx,False,False,False,True
electabuzz,False,False,False,True
magmar,False,False,False,True
pinsir,False,False,False,True
tauros,False,False,False,True
magikarp,False,False,False,True
gyarados,False,False,False,True
lapras,False,False,False,True
ditto,False,False,False,True
eevee,False,False,False,True
vaporeon,False,False,False,True
jolteon,False,False,False,True
flareon,False,False,False,True
porygon,False,False,False,True
omanyte,False,False,False,True
omastar,False,False,False,True
kabuto,False,False,False,True
kabutops,False,False,False,True
aerodactyl,False,False,False,True
snorlax,False,False,False,True
articuno,False,True,False,True
zapdos,False,True,False,True
moltres,False,True,False,True
dratini,False,False,False,True
dragonair,False,False,False,True
dragonite,False,False,False,True
mewtwo,False,True,False,True
mew,False,False,True,True
chikorita,False,False,False,True
bayleef,False,False,False,True
meganium,False,False,False,True
cyndaquil,False,False,False,True
quilava,False,False,False,True
typhlosion,False,False,False,True
totodile,False,False,False,True
croconaw,False,False,False,True
feraligatr,False,False,False,True
sentret,False,False,False,True
furret,False,False,False,True
hoothoot,False,False,False,True
noctowl,False,False,False,True
ledyba,False,False,False,True
ledian,False,False,False,True
spinarak,False,False,False,True
ariados,False,False,False,True
crobat,False,False,False,True
chinchou,False,False,False,True
lanturn,False,False,False,True
pichu,True,False,False,True
cleffa,True,False,False,True
igglybuff,True,False,False,True
togepi,True,False,False,True
togetic,False,False,False,True
natu,False,False,False,True
xatu,False,False,False,True
mareep,False,False,False,True
flaaffy,False,False,False,True
ampharos,False,False,False,True
bellossom,False,False,False,True
marill,False,False,False,True
azumarill,False,False,False,True
sudowoodo,False,False,False,True
politoed,False,False,False,True
hoppip,False,False,False,True
skiploom,False,False,False,True
jumpluff,False,False,False,True
aipom,False,False,False,True
sunkern,False,False,False,True
sunflora,False,False,False,True
yanma,False,False,False,True
wooper,False,False,False,True
quagsire,False,False,False,True
espeon,False,False,False,True
umbreon,False,False,False,True
murkrow,False,False,False,True
slowking,False,False,False,True
misdreavus,False,False,False,True
unown,False,False,False,True
wobbuffet,False,False,False,True
girafarig,False,False,False,True
pineco,False,False,False,True
forretress,False,False,False,True
dunsparce,False,False,False,True
gligar,False,False,False,True
steelix,False,False,False,True
snubbull,False,False,False,True
granbull,False,False,False,True
qwilfish,False,False,False,True
scizor,False,False,False,True
shuckle,False,False,False,True
heracross,False,False,False,True
sneasel,False,False,False,True
teddiursa,False,False,False,True
ursaring,False,False,False,True
slugma,False,False,False,True
magcargo,False,False,False,True
swinub,False,False,False,True
piloswine,False,False,False,True
corsola,False,False,False,True
remoraid,False,False,False,True
octillery,False,False,False,True
delibird,False,False,False,True
mantine,False,False,False,True
skarmory,False,False,False,True
houndour,False,False,False,True
houndoom,False,False,False,True
kingdra,False,False,False,True
phanpy,False,False,False,True
donphan,False,False,False,True
porygon2,False,False,False,True
stantler,False,False,False,True
smeargle,False,False,False,True
tyrogue,True,False,False,True
hitmontop,False,False,False,True
smoochum,True,False,False,True
elekid,True,False,False,True
magby,True,False,False,True
miltank,False,False,False,True
blissey,False,False,False,True
raikou,False,True,False,True
entei,False,True,False,True
suicune,False,True,False,True
larvitar,False,False,False,True
pupitar,False,False,False,True
tyranitar,False,False,False,True
lugia,False,True,False,True
ho-oh,False,True,False,True
celebi,False,False,True,True
treecko,False,False,False,True
grovyle,False,False,False,True
sceptile,False,False,False,True
torchic,False,False,False,True
combusken,False,False,False,True
blaziken,False,False,False,True
mudkip,False,False,False,True
marshtomp,False,False,False,True
swampert,False,False,False,True
poochyena,False,False,False,True
mightyena,False,False,False,True
zigzagoon,False,False,False,True
linoone,False,False,False,True
wurmple,False,False,False,True
silcoon,False,False,False,True
beautifly,False,False,False,True
cascoon,False,False,False,True
dustox,False,False,False,True
lotad,False,False,False,True
lombre,False,False,False,True
ludicolo,False,False,False,True
seedot,False,False,False,True
nuzleaf,False,False,False,True
shiftry,False,False,False,True
taillow,False,False,False,True
swellow,False,False,False,True
wingull,False,False,False,True
pelipper,False,False,False,True
ralts,False,False,False,True
kirlia,False,False,False,True
gardevoir,False,False,False,True
surskit,False,False,False,True
masquerain,False,False,False,True
shroomish,False,False,False,True
breloom,False,False,False,True
slakoth,False,False,False,True
vigoroth,False,False,False,True
slaking,False,False,False,True
nincada,False,False,False,True
ninjask,False,False,False,True
shedinja,False,False,False,True
whismur,False,False,False,True
loudred,False,False,False,True
exploud,False,False,False,True
makuhita,False,False,False,True
hariyama,False,False,False,True
azurill,True,False,False,True
nosepass,False,False,False,True
skitty,False,False,False,True
delcatty,False,False,False,True
sableye,False,False,False,True
mawile,False,False,False,True
aron,False,False,False,True
lairon,False,False,False,True
aggron,False,False,False,True
meditite,False,False,False,True
medicham,False,False,False,True
electrike,False,False,False,True
manectric,False,False,False,True
plusle,False,False,False,True
minun,False,False,False,True
volbeat,False,False,False,True
illumise,False,False,False,True
roselia,False,False,False,True
gulpin,False,False,False,True
swalot,False,False,False,True
carvanha,False,False,False,True
sharpedo,False,False,False,True
wailmer,False,False,False,True
wailord,False,False,False,True
numel,False,False,False,True
camerupt,False,False,False,True
torkoal,False,False,False,True
spoink,False,False,False,True
grumpig,False,False,False,True
spinda,False,False,False,True
trapinch,False,False,False,True
vibrava,False,False,False,True
flygon,False,False,False,True
cacnea,False,False,False,True
cacturne,False,False,False,True
swablu,False,False,False,True
altaria,False,False,False,True
zangoose,False,False,False,True
seviper,False,False,False,True
lunatone,False,False,False,True
solrock,False,False,False,True
barboach,False,False,False,True
whiscash,False,False,False,True
corphish,False,False,False,True
