name,is_baby,is_legendary,is_mythical,is_pokemon
victini,False,False,True,True
snivy,False,False,False,True
servine,False,False,False,True
serperior,False,False,False,True
tepig,False,False,False,True
pignite,False,False,False,True
emboar,False,False,False,True
oshawott,False,False,False,True
dewott,False,False,False,True
samurott,False,False,False,True
patrat,False,False,False,True
watchog,False,False,False,True
purrloin,False,False,False,True
liepard,False,False,False,True
pidove,False,False,False,True
tranquill,False,False,False,True
unfezant,False,False,False,True
sewaddle,False,False,False,True
swadloon,False,False,False,True
leavanny,False,False,False,True
sunkern,False,False,False,True
sunflora,False,False,False,True
lillipup,False,False,False,True
herdier,False,False,False,True
stoutland,False,False,False,True
mareep,False,False,False,True
flaaffy,False,False,False,True
ampharos,False,False,False,True
psyduck,False,False,False,True
golduck,False,False,False,True
azurill,True,False,False,True
marill,False,False,False,True
azumarill,False,False,False,True
riolu,True,False,False,True
lucario,False,False,False,True
dunsparce,False,False,False,True
audino,False,False,False,True
pansage,False,False,False,True
simisage,False,False,False,True
pansear,False,False,False,True
simisear,False,False,False,True
panpour,False,False,False,True
simipour,False,False,False,True
venipede,False,False,False,True
whirlipede,False,False,False,True
scolipede,False,False,False,True
koffing,False,False,False,True
weezing,False,False,False,True
magnemite,False,False,False,True
magneton,False,False,False,True
magnezone,False,False,False,True
growlithe,False,False,False,True
arcanine,False,False,False,True
magby,True,False,False,True
magmar,False,False,False,True
magmortar,False,False,False,True
elekid,True,False,False,True
electabuzz,False,False,False,True
electivire,False,False,False,True
rattata,False,False,False,True
raticate,False,False,False,True
zubat,False,False,False,True
golbat,False,False,False,True
crobat,False,False,False,True
grimer,False,False,False,True
muk,False,False,False,True
woobat,False,False,False,True
swoobat,False,False,False,True
roggenrola,False,False,False,True
boldore,False,False,False,True
gigalith,False,False,False,True
onix,False,False,False,True
steelix,False,False,False,True
timburr,False,False,False,True
gurdurr,False,False,False,True
conkeldurr,False,False,False,True
drilbur,False,False,False,True
excadrill,False,False,False,True
skitty,False,False,False,True
delcatty,False,False,False,True
buneary,False,False,False,True
lopunny,False,False,False,True
cottonee,False,False,False,True
whimsicott,False,False,False,True
petilil,False,False,False,True
lilligant,False,False,False,True
munna,False,False,False,True
musharna,False,False,False,True
cleffa,True,False,False,True
clefairy,False,False,False,True
clefable,False,False,False,True
eevee,False,False,False,True
vaporeon,False,False,False,True
jolteon,False,False,False,True
flareon,False,False,False,True
espeon,False,False,False,True
umbreon,False,False,False,True
leafeon,False,False,False,True
glaceon,False,False,False,True
sandile,False,False,False,True
krokorok,False,False,False,True
krookodile,False,False,False,True
darumaka,False,False,False,True
darmanitan,False,False,False,True
basculin,False,False,False,True
trubbish,False,False,False,True
garbodor,False,False,False,True
minccino,False,False,False,True
cinccino,False,False,False,True
rufflet,False,False,False,True
braviary,False,False,False,True
vullaby,False,False,False,True
mandibuzz,False,False,False,True
sandshrew,False,False,False,True
sandslash,False,False,False,True
dwebble,False,False,False,True
crustle,False,False,False,True
scraggy,False,False,False,True
scrafty,False,False,False,True
maractus,False,False,False,True
sigilyph,False,False,False,True
trapinch,False,False,False,True
vibrava,False,False,False,True
flygon,False,False,False,True
yamask,False,False,False,True
cofagrigus,False,False,False,True
tirtouga,False,False,False,True
carracosta,False,False,False,True
archen,False,False,False,True
archeops,False,False,False,True
klink,False,False,False,True
klang,False,False,False,True
klinklang,False,False,False,True
budew,True,False,False,True
roselia,False,False,False,True
roserade,False,False,False,True
gothita,False,False,False,True
gothorita,False,False,False,True
gothitelle,False,False,False,True
solosis,False,False,False,True
duosion,False,False,False,True
reuniclus,False,False,False,True
combee,False,False,False,True
vespiquen,False,False,False,True
emolga,False,False,False,True
heracross,False,False,False,True
pinsir,False,False,False,True
blitzle,False,False,False,True
zebstrika,False,False,False,True
buizel,False,False,False,True
floatzel,False,False,False,True
zorua,False,False,False,True
zoroark,False,False,False,True
ducklett,False,False,False,True
swanna,False,False,False,True
karrablast,False,False,False,True
escavalier,False,False,False,True
shelmet,False,False,False,True
accelgor,False,False,False,True
deerling,False,False,False,True
sawsbuck,False,False,False,True
foongus,False,False,False,True
amoonguss,False,False,False,True
castform,False,False,False,True
nosepass,False,False,False,True
probopass,False,False,False,True
aron,False,False,False,True
lairon,False,False,False,True
aggron,False,False,False,True
baltoy,False,False,False,True
claydol,False,False,False,True
larvesta,False,False,False,True
volcarona,False,False,False,True
joltik,False,False,False,True
galvantula,False,False,False,True
ferroseed,False,False,False,True
ferrothorn,False,False,False,True
tynamo,False,False,False,True
eelektrik,False,False,False,True
eelektross,False,False,False,True
frillish,False,False,False,True
jellicent,False,False,False,True
alomomola,False,False,False,True
axew,False,False,False,True
fraxure,False,False,False,True
haxorus,False,False,False,True
zangoose,False,False,False,True
seviper,False,False,False,True
elgyem,False,False,False,True
beheeyem,False,False,False,True
litwick,False,False,False,True
lampent,False,False,False,True
chandelure,False,False,False,True
heatmor,False,False,False,True
durant,False,False,False,True
cubchoo,False,False,False,True
beartic,False,False,False,True
cryogonal,False,False,False,True
tornadus,False,True,False,True
thundurus,False,True,False,True
landorus,False,True,False,True
skorupi,False,False,False,True
drapion,False,False,False,True
skarmory,False,False,False,True
numel,False,False,False,True
camerupt,False,False,False,True
spoink,False,False,False,True
grumpig,False,False,False,True
drifloon,False,False,False,True
drifblim,False,False,False,True
shuppet,False,False,False,True
banette,False,False,False,True
wingull,False,False,False,True
pelipper,False,False,False,True
lunatone,False,False,False,True
solrock,False,False,False,True
absol,False,False,False,True
tangela,False,False,False,True
tangrowth,False,False,False,True
mienfoo,False,False,False,True
mienshao,False,False,False,True
gligar,False,False,False,True
gliscor,False,False,False,True
pawniard,False,False,False,True
bisharp,False,False,False,True
cobalion,False,True,False,True
terrakion,False,True,False,True
virizion,False,True,False,True
tympole,False,False,False,True
palpitoad,False,False,False,True
seismitoad,False,False,False,True
stunfisk,False,False,False,True
shuckle,False,False,False,True
mantyke,True,False,False,True
mantine,False,False,False,True
remoraid,False,False,False,True
octillery,False,False,False,True
corsola,False,False,False,True
staryu,False,False,False,True
starmie,False,False,False,True
wailmer,False,False,False,True
wailord,False,False,False,True
lapras,False,False,False,True
spheal,False,False,False,True
sealeo,False,False,False,True
walrein,False,False,False,True
swablu,False,False,False,True
altaria,False,False,False,True
vulpix,False,False,False,True
ninetales,False,False,False,True
bronzor,False,False,False,True
bronzong,False,False,False,True
sneasel,False,False,False,True
weavile,False,False,False,True
delibird,False,False,False,True
vanillite,False,False,False,True
vanillish,False,False,False,True
vanilluxe,False,False,False,True
swinub,False,False,False,True
piloswine,False,False,False,True
mamoswine,False,False,False,True
ditto,False,False,False,True
beldum,False,False,False,True
metang,False,False,False,True
metagross,False,False,False,True
seel,False,False,False,True
dewgong,False,False,False,True
throh,False,False,False,True
sawk,False,False,False,True
bouffalant,False,False,False,True
